con_id,country,alpha_hat,abs_alpha,Beta,se_Beta,KPF,CDF,Gk,Var_zk
1,CAN,-.0019030489493161,.0019030489,-1.002049288107584,1.557874728191122,.5316310332299675,1.95144889418708,27238,.0004293646502545
2,CHN,.1032969802618027,.10329698,.6672574489915859,.5209025095732995,1.35125163132927,13.17343377601529,142756,.1882440788268313
3,DEU,-.0002927446912508,.00029274469,1.317910826282799,1.844855791730487,.603836810834633,1.370857267770409,107919,.0000144599756067
4,EGY,.002723480341956,.0027234803,.2266001702112886,.1371165789445188,3.28151173381687,27.1525170270619,33387,.0000638432024122
5,FJI,.003210939001292,.003210939,.5786375041023017,.4568568663218444,1.948479529740651,7.566995414469583,44249,.0003159416207252
6,GBR,.0367825068533421,.036782507,.1273897557581384,.0564982561666298,24.10483885866388,123.8512891315059,1034105,.0026516313781092
7,GRC,.0055602225475013,.0055602225,-.7686920058742902,.4724917181424241,2.966968505125332,10.80975873064279,116380,.0006640503117096
8,HKG,.0027140914462507,.0027140914,1.161459014787265,1.763713250725453,.3991983270341764,1.818618260976507,67111,.0009370606137545
9,IDN,.0135417319834232,.013541732,.3679746284876192,.2462601937283355,2.36914319252788,22.45344708507825,46977,.0019051357692928
10,IND,.2812424302101135,.28124243,.315285809031104,.1090250888544082,13.47664901863372,107.4402067317157,95397,.1775729628717589
11,IRL,.0140773775056005,.014077378,.2898475775529117,.1088790465253743,13.69678051855833,88.51861955866153,50135,.0005360428569198
12,IRN,.0085209282115102,.0085209282,.5298782396214712,.4448599600414665,1.915255384412577,4.668432378335369,18512,.0036021515251208
13,IRQ,.004237154033035,.004237154,.0224696019138207,.4326772351125208,.1165144314683905,.1824860293662925,24507,.0227453367056941
14,ITA,-.0069504636339843,.0069504636,.8105498222467141,.7134921071950552,1.24421964704046,3.717413695619787,218638,.0030087038681919
15,JPN,.0027922107838094,.0027922108,1.423739463817015,2.70077485030828,.2560462690481543,1.758860496421405,25452,.0010254507103629
16,KOR,.0058205854147673,.0058205854,2.048492150731057,3.598117534376785,.3074355343270179,1.007579162922959,38901,.0077762874777533
17,LBN,.0022900651674718,.0022900652,.198575906952461,.1817932766294155,1.107410297480022,4.57697586802185,71344,.000265375168183
18,LKA,.0401655212044716,.040165521,.3076322807959833,.1199748428530877,6.87592507415614,57.49659245472008,53436,.0066370009482023
19,MYS,.0406297892332077,.040629789,.4193890141374474,.2063353676901282,4.215917472654054,57.28087837993792,78216,.0068163154237244
20,NLD,-.0027911707293242,.0027911707,-.180378330586229,.2132782077269857,3.517827700491625,17.98795459601061,83178,.0001008497766485
21,NZL,.0561656840145588,.056165684,.3698837441944146,.1531310365031769,12.86945752765051,30.13436990146872,354801,.024494753391871
22,PHL,.0548310317099094,.054831032,.2978683864598792,.1401563907068102,5.50294795871983,36.78666541392972,103808,.0191737174394224
23,POL,-.0015803321730345,.0015803322,1.528645199877776,.8443298343419748,2.870725926064079,5.925302763569872,58073,.0000976709324601
24,SGP,.0176107492297888,.017610749,.5277974787653965,.29709193021109,3.597714075072138,47.54314725245901,33356,.00153697228072
25,THA,.023154828697443,.023154829,.539801748291668,.2161816609853359,5.675299124000119,32.10630910821331,23550,.0039104550016425
26,USA,-.0034332994837314,.0034332995,-1.581987329021956,6.853628548507355,.1413308034082786,.1718774790889127,53572,.0158553587672095
27,VNM,.0345572978258133,.034557298,.1854473663413591,.1872341195967897,.937000230995539,13.14031552578998,154743,.0211209335707616
28,ZAF,.016696635633707,.016696636,1.009529031874515,.7567402280132222,1.658693516493625,6.592322601862046,79306,.0098020120729949
29,ZZZ,.2463288158178329,.24632882,.4214217987141945,.2024589540547455,4.954221063495037,59.99838068558303,2087565,.2394564747897601
