country,alpha_hat,Gk,Beta,se_Beta,ci_lb,ci_ub,baseline_share
IND,0.282,9.5e+04,0.115,0.040,0.037,0.193,0.018
CHN,0.104,1.4e+05,0.184,0.149,-0.107,0.475,0.027
NZL,0.054,3.5e+05,0.115,0.074,-0.030,0.260,0.067
PHL,0.054,1.0e+05,0.098,0.047,0.006,0.190,0.019
MYS,0.041,7.8e+04,0.202,0.101,0.004,0.400,0.015
