="",="(1)",="(2)",="(3)"
="",="Overall",="Male",="Female"
="immigration share(denominator:pop i,91)",="0.413***",="0.280***",="0.530***"
="",="(0.132)",="(0.101)",="(0.171)"
="Observations",="2,479",="2,479",="2,479"
="C-D F-stat",="72.052",="72.052",="72.052"
="K-P F-stat",="10.189",="10.189",="10.189"
="A-R F-stat",="29.514",="16.693",="27.748"
="A-R p-value",="0.000",="0.000",="0.000"
="Standard errors in parentheses"
="LGA fixed effects: Yes"
="Year fixed effects: Yes"
="Control variables: Yes"
="* p<0.10, ** p<0.05, *** p<0.01"
