con_id,country,alpha_hat,abs_alpha,Beta,se_Beta,KPF,CDF,Gk,Var_zk
1,CAN,-.0020152623765171,.0020152624,-.422267804915483,.5738668982776719,.6102382315860949,2.194400487808232,27238,.0004310107848692
2,CHN,.104387991130352,.10438799,.184043498194675,.148507366291011,1.385905226618593,13.52500516574017,142756,.1884881120913658
3,DEU,-.0002856752253138,.00028567523,-.1742498299015922,.3274010137453342,.580943568840623,1.313515369706434,107919,.0000144642697341
4,EGY,.002739843679592,.0027398437,.1643294729234209,.0919498161612766,3.336407142409191,27.63019582450339,33387,.0000639204316743
5,FJI,.0032604485750198,.0032604486,.3353427597711203,.2631141139177993,2.023535801698639,7.84312139881612,44249,.0003163694768478
6,GBR,.0366192311048508,.036619231,.0125929069515899,.0205991697621756,24.05571671515601,123.5272055596959,1034105,.0026517911601953
7,GRC,.0054626832716167,.0054626833,-.0723849900643917,.1097268365291268,2.883260850008086,10.48895971516666,116380,.0006647685205511
8,HKG,.0028033521957695,.0028033522,.806963894137149,1.219550875951734,.4288433627997975,1.950564138117508,67111,.0009381951767446
9,IDN,.0136144189164042,.013614419,.1107576647565443,.0727841145328516,2.403902686627091,22.82615863178614,46977,.0019067948177034
10,IND,.2816886901855469,.28168869,.115044441528421,.0398648058476718,13.60336795381961,108.3776839980378,95397,.177805835976989
11,IRL,.0141325043514371,.014132504,.1272370271598059,.0417534810328481,13.87789252016859,89.62169989577178,50135,.0005372930192592
12,IRN,.0086697889491916,.0086697889,.3992938163323905,.2844809770633683,1.988470530690943,4.85977327805676,18512,.0036058555393244
13,IRQ,.0043123280629516,.0043123281,.1066977446829407,.2513014961120021,.1202204272443395,.1902405167777789,24507,.0227462769444724
14,ITA,-.0070651844143867,.0070651844,.1927968338319817,.1706978095835218,1.29268675756326,3.863465207293785,218638,.0030109460266528
15,JPN,.0028977640904486,.0028977641,.4071969790519437,.7221166140950164,.2766168800532674,1.903909406427518,25452,.0010269983751273
16,KOR,.0060055172070861,.0060055172,.7419642741172969,1.298436900001384,.3311007338876102,1.078947480759459,38901,.0077811894316306
17,LBN,.0023024312686175,.0023024313,.2829565436268837,.2385575865492008,1.125911723678308,4.655928277935303,71344,.0002654230787475
18,LKA,.0401987582445145,.040198758,.1101340435294744,.0408277581782578,6.912860574562905,57.94616430474525,53436,.0066404228963852
19,MYS,.0408007428050041,.040800743,.2018499060962555,.1011666000047639,4.27230319659451,58.06101119778232,78216,.0068275721706513
20,NLD,-.0027525131590664,.0027525132,-.077425728815235,.0816618074811264,3.442295678943021,17.58681029149292,83178,.0001009484109919
21,NZL,.0541886240243912,.054188624,.1151853116251128,.074093887145493,11.60878708928398,27.78456792185694,354801,.0248663129610405
22,PHL,.0538715235888958,.053871524,.0981757334833977,.0470739046881191,5.33884924943359,35.59534727054304,103808,.0192431321441297
23,POL,-.0016099700005725,.00160997,.037075787202012,.0897729903526241,2.990549422597462,6.181172068833083,58073,.0000978144678376
24,SGP,.0173933338373899,.017393334,.1525205580639183,.0855161039754936,3.529705641884693,46.57267454158836,33356,.0015398465755841
25,THA,.023255979642272,.02325598,.1119590999125093,.0513549907436602,5.750960210897502,32.57216776184532,23550,.0039142665508971
26,USA,-.0031774051021785,.0031774051,1.162591207463546,3.503855266812661,.121542386238185,.1481019450577924,53572,.0158623150859745
27,VNM,.0346385538578033,.034638554,.0065198492880856,.0619103539274769,.9462890951672878,13.28584033363718,154743,.021125604316865
28,ZAF,.0165045447647572,.016504545,.4102588879630695,.3061988931145216,1.642280189258043,6.481699137397348,79306,.0098041314693706
29,ZZZ,.2471569776535034,.24715698,.0757949714136912,.0360466769037574,5.012393197795204,60.72918688388615,2087565,.239783756101789
